City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2020-10-19 03:47:30,19.73,-155.09,78.8,78,90,4.7
1,Tasiilaq,GL,2020-10-19 03:49:59,65.61,-37.64,32.0,95,98,1.12
2,Sao Filipe,CV,2020-10-19 03:49:59,14.9,-24.5,80.17,80,95,3.36
3,Turtas,RU,2020-10-19 03:49:59,58.94,69.13,32.25,98,100,12.75
4,Busselton,AU,2020-10-19 03:49:59,-33.65,115.33,80.01,35,10,7.18
5,Port Alfred,ZA,2020-10-19 03:48:45,-33.59,26.89,60.64,84,70,3.18
6,Namibe,AO,2020-10-19 03:49:59,-15.2,12.15,66.72,83,0,2.77
7,Gilbues,BR,2020-10-19 03:50:00,-9.83,-45.34,79.16,39,43,6.82
8,Qaanaaq,GL,2020-10-19 03:50:00,77.48,-69.36,25.63,86,37,7.31
9,Cape Town,ZA,2020-10-19 03:48:43,-33.93,18.42,61.0,87,86,8.05
10,Albany,US,2020-10-19 03:48:44,42.6,-73.97,53.01,65,79,6.85
11,Ponta Do Sol,PT,2020-10-19 03:50:00,32.67,-17.1,73.4,83,75,33.33
12,Vaini,TO,2020-10-19 03:50:00,-21.2,-175.2,73.4,78,75,10.29
13,Rikitea,PF,2020-10-19 03:50:01,-23.12,-134.97,74.62,81,100,20.0
14,Quatre Cocos,MU,2020-10-19 03:50:01,-20.21,57.76,78.01,69,40,11.41
15,Jilib,SO,2020-10-19 03:50:01,0.49,42.79,77.9,77,71,8.12
16,Vardo,NO,2020-10-19 03:50:01,70.37,31.11,30.2,74,20,13.87
17,Gaoua,BF,2020-10-19 03:50:01,10.3,-3.25,74.41,87,35,3.58
18,Saint-Philippe,RE,2020-10-19 03:48:46,-21.36,55.77,77.0,53,75,3.36
19,Mar Del Plata,AR,2020-10-19 03:49:10,-38.0,-57.56,71.6,94,90,26.4
20,Keetmanshoop,NA,2020-10-19 03:50:02,-26.58,18.13,69.8,28,0,3.36
21,Mehamn,NO,2020-10-19 03:50:02,71.04,27.85,30.2,92,40,8.05
22,Richards Bay,ZA,2020-10-19 03:50:02,-28.78,32.04,70.43,79,93,8.21
23,Talara,PE,2020-10-19 03:50:02,-4.58,-81.27,64.38,87,61,14.58
24,Vanimo,PG,2020-10-19 03:50:02,-2.67,141.3,83.88,74,100,5.48
25,Macaubas,BR,2020-10-19 03:50:03,-13.02,-42.7,71.67,74,38,8.03
26,Tuktoyaktuk,CA,2020-10-19 03:50:03,69.45,-133.04,14.0,92,40,2.24
27,Butaritari,KI,2020-10-19 03:50:03,3.07,172.79,82.04,72,35,15.84
28,Ulladulla,AU,2020-10-19 03:50:03,-35.35,150.47,62.6,59,75,10.29
29,New Norfolk,AU,2020-10-19 03:48:47,-42.78,147.06,63.0,60,97,1.99
30,Naze,JP,2020-10-19 03:50:03,28.37,129.48,78.8,83,75,23.04
31,Mantua,IT,2020-10-19 03:50:04,45.17,10.78,48.99,95,26,1.01
32,Wenling,CN,2020-10-19 03:50:04,28.37,121.36,71.01,67,87,15.23
33,Geraldton,AU,2020-10-19 03:50:04,-28.77,114.6,73.4,64,90,12.75
34,Monterey,US,2020-10-19 03:45:18,36.25,-121.25,62.01,87,90,10.29
35,Tiksi,RU,2020-10-19 03:50:04,71.69,128.87,16.38,94,94,18.39
36,Severo-Kurilsk,RU,2020-10-19 03:48:48,50.68,156.12,49.41,79,47,11.77
37,Kapaa,US,2020-10-19 03:50:05,22.08,-159.32,80.01,88,75,5.82
38,Castro,BR,2020-10-19 03:46:00,-24.79,-50.01,59.04,93,80,7.4
39,Inhambane,MZ,2020-10-19 03:50:05,-23.86,35.38,70.32,76,0,4.79
40,Hermanus,ZA,2020-10-19 03:50:05,-34.42,19.23,57.99,87,80,1.01
41,Hobart,AU,2020-10-19 03:49:33,-42.88,147.33,63.0,47,75,6.93
42,Kamaishi,JP,2020-10-19 03:50:06,39.27,141.88,60.8,72,75,2.24
43,Ribeira Grande,PT,2020-10-19 03:50:06,38.52,-28.7,62.94,72,8,22.39
44,Klisura,BG,2020-10-19 03:50:06,42.7,24.45,44.6,75,75,9.17
45,Saskylakh,RU,2020-10-19 03:50:06,71.92,114.08,19.62,97,98,6.33
46,Manosque,FR,2020-10-19 03:50:06,43.83,5.79,44.6,93,7,3.6
47,Cidreira,BR,2020-10-19 03:50:06,-30.18,-50.21,67.28,81,0,20.62
48,Diego De Almagro,CL,2020-10-19 03:50:07,-26.37,-70.05,53.13,63,0,1.54
49,Bredasdorp,ZA,2020-10-19 03:50:07,-34.53,20.04,57.2,87,91,2.24
50,Vyartsilya,RU,2020-10-19 03:50:07,62.18,30.69,35.01,93,100,1.68
51,Jamestown,US,2020-10-19 03:48:02,42.1,-79.24,55.0,62,90,10.29
52,Labuhan,ID,2020-10-19 03:50:07,-6.88,112.21,84.22,68,99,12.66
53,Isangel,VU,2020-10-19 03:50:07,-19.55,169.27,82.4,65,75,10.13
54,Thompson,CA,2020-10-19 03:50:08,55.74,-97.86,24.8,100,75,3.36
55,Doha,QA,2020-10-19 03:47:10,25.29,51.53,82.99,54,0,4.7
56,Altamira,BR,2020-10-19 03:50:08,-3.2,-52.21,75.33,81,4,3.62
57,Barrow,US,2020-10-19 03:50:08,71.29,-156.79,23.0,79,90,14.99
58,Chengzihe,CN,2020-10-19 03:50:08,45.33,131.07,54.46,40,16,12.5
59,Mataura,NZ,2020-10-19 03:50:08,-46.19,168.86,53.01,75,100,11.99
60,Nogales,MX,2020-10-19 03:50:09,31.31,-110.94,66.2,17,1,6.93
61,Kalmunai,LK,2020-10-19 03:50:09,7.42,81.82,86.68,57,95,1.07
62,Ushuaia,AR,2020-10-19 03:48:52,-54.8,-68.3,37.4,74,20,16.11
63,Chokurdakh,RU,2020-10-19 03:50:09,70.63,147.92,19.42,98,91,6.4
64,Piacabucu,BR,2020-10-19 03:50:09,-10.41,-36.43,73.18,82,15,7.52
65,Fortuna,US,2020-10-19 03:50:09,40.6,-124.16,57.0,100,90,3.36
66,Aykhal,RU,2020-10-19 03:50:09,66.0,111.5,14.0,92,90,4.47
67,Caruray,PH,2020-10-19 03:50:10,10.31,119.01,86.0,74,75,6.93
68,Saldanha,ZA,2020-10-19 03:50:10,-33.01,17.94,48.2,87,73,2.24
69,Takoradi,GH,2020-10-19 03:50:10,4.88,-1.76,76.89,88,66,6.46
70,Mount Isa,AU,2020-10-19 03:50:10,-20.73,139.5,98.6,13,48,8.05
71,Maumere,ID,2020-10-19 03:50:10,-8.62,122.21,85.37,64,86,1.54
72,Te Anau,NZ,2020-10-19 03:50:10,-45.42,167.72,45.52,88,100,1.25
73,Mangai,CD,2020-10-19 03:50:11,-4.05,19.53,69.44,99,93,0.47
74,Soyo,AO,2020-10-19 03:50:11,-6.13,12.37,76.48,86,76,6.89
75,Esperance,AU,2020-10-19 03:50:11,-33.87,121.9,69.8,73,90,5.82
76,Punta Arenas,CL,2020-10-19 03:50:11,-53.15,-70.92,37.4,74,75,34.45
77,Pak Phanang,TH,2020-10-19 03:50:11,8.35,100.2,89.6,75,20,4.7
78,Akcaabat,TR,2020-10-19 03:50:11,41.02,39.57,69.8,60,40,4.7
79,Bubaque,GW,2020-10-19 03:50:12,11.28,-15.83,81.7,88,7,14.38
80,Yellowknife,CA,2020-10-19 03:50:12,62.46,-114.35,23.0,92,90,2.24
81,Norman Wells,CA,2020-10-19 03:50:12,65.28,-126.83,6.8,84,20,3.36
82,Saint George,US,2020-10-19 03:45:47,37.1,-113.58,73.4,13,1,4.7
83,Carnarvon,AU,2020-10-19 03:50:12,-24.87,113.63,75.2,64,49,17.22
84,Pangai,TO,2020-10-19 03:50:12,-19.8,-174.35,75.2,83,75,8.05
85,Gasa,PS,2020-10-19 03:47:21,31.5,34.47,71.6,78,20,4.7
86,Oksfjord,NO,2020-10-19 03:50:13,70.24,22.35,28.4,92,0,3.36
87,Gayeri,BF,2020-10-19 03:50:13,12.65,0.49,81.3,53,34,7.07
88,Zhumadian,CN,2020-10-19 03:50:13,32.98,114.03,67.89,39,66,2.71
89,Saint-Pierre,RE,2020-10-19 03:49:00,-21.34,55.48,77.0,53,75,3.36
90,Champerico,GT,2020-10-19 03:50:13,14.3,-91.92,69.01,96,98,1.01
91,Atuona,PF,2020-10-19 03:50:14,-9.8,-139.03,78.53,74,1,19.44
92,Saint-Leu,RE,2020-10-19 03:50:14,-21.15,55.28,77.0,53,75,3.36
93,Ancud,CL,2020-10-19 03:50:14,-41.87,-73.82,45.0,93,75,4.7
94,Dikson,RU,2020-10-19 03:50:14,73.51,80.55,26.13,96,18,28.23
95,Tautira,PF,2020-10-19 03:50:14,-17.73,-149.15,84.0,69,20,12.75
96,Antofagasta,CL,2020-10-19 03:50:15,-23.65,-70.4,57.2,87,90,8.05
97,Bluff,NZ,2020-10-19 03:50:15,-46.6,168.33,53.01,75,92,11.99
98,Houma,US,2020-10-19 03:50:15,29.6,-90.72,72.0,100,1,4.7
99,Fairlie,GB,2020-10-19 03:50:15,55.76,-4.86,53.01,92,98,5.01
100,Ilebo,CD,2020-10-19 03:50:15,-4.32,20.58,70.84,95,100,0.85
101,Victoria,HK,2020-10-19 03:47:25,22.29,114.16,79.0,69,5,1.99
102,Zapolyarnyy,RU,2020-10-19 03:50:15,69.42,30.81,32.0,94,40,13.87
103,Cayenne,GF,2020-10-19 03:50:16,4.93,-52.33,75.2,100,0,8.99
104,Bambous Virieux,MU,2020-10-19 03:49:49,-20.34,57.76,78.01,69,40,11.41
105,Iquitos,PE,2020-10-19 03:50:16,-3.75,-73.25,73.36,91,47,1.86
106,Georgetown,MY,2020-10-19 03:50:16,5.41,100.34,86.0,70,20,3.36
107,Jalu,LY,2020-10-19 03:50:16,29.03,21.55,72.3,52,97,8.61
108,Provideniya,RU,2020-10-19 03:50:16,64.38,-173.3,37.4,86,20,6.71
109,Cabo San Lucas,MX,2020-10-19 03:47:28,22.89,-109.91,82.4,74,20,8.86
110,Port Elizabeth,ZA,2020-10-19 03:50:17,-33.92,25.57,53.6,93,75,2.24
111,Sola,VU,2020-10-19 03:50:17,-13.88,167.55,82.4,83,90,19.08
112,Awbari,LY,2020-10-19 03:50:17,26.59,12.78,68.23,74,95,13.11
113,Mogadishu,SO,2020-10-19 03:50:01,2.04,45.34,79.2,80,21,9.73
114,Dezhou,CN,2020-10-19 03:48:23,37.45,116.29,73.29,21,0,8.08
115,Puerto Ayora,EC,2020-10-19 03:50:18,-0.74,-90.35,70.0,93,100,5.99
116,Bonthe,SL,2020-10-19 03:50:18,7.53,-12.51,76.77,91,100,4.29
117,Srandakan,ID,2020-10-19 03:50:18,-7.94,110.25,80.89,77,97,9.24
118,San Lazaro,BZ,2020-10-19 03:50:18,18.04,-88.66,73.63,95,9,2.37
119,Cabinda,AO,2020-10-19 03:50:18,-5.55,12.2,76.89,86,97,7.38
120,Alofi,NU,2020-10-19 03:50:19,-19.06,-169.92,74.53,82,100,15.52
121,West Bay,KY,2020-10-19 03:50:19,19.37,-81.42,82.0,94,20,7.85
122,Shimoda,JP,2020-10-19 03:50:19,34.67,138.95,64.4,63,75,17.22
123,Iwaki,JP,2020-10-19 03:50:19,37.05,140.88,64.99,67,100,4.94
124,Zafarabad,IN,2020-10-19 03:50:19,25.7,82.73,80.6,78,0,4.47
125,Lata,PT,2020-10-19 03:50:19,40.16,-8.33,62.01,72,49,10.29
126,Nea Fokaia,GR,2020-10-19 03:50:19,40.13,23.4,57.0,54,88,4.0
127,Bethel,US,2020-10-19 03:50:20,41.37,-73.41,48.0,95,51,3.51
128,Lagoa,PT,2020-10-19 03:50:20,39.05,-27.98,62.11,74,6,21.16
129,Mehran,IR,2020-10-19 03:50:20,33.12,46.16,53.6,25,0,6.93
130,Cabuyaro,CO,2020-10-19 03:50:20,4.28,-72.79,74.53,93,100,3.89
131,Yulara,AU,2020-10-19 03:50:20,-25.24,130.99,73.4,69,75,19.46
132,Puerto Baquerizo Moreno,EC,2020-10-19 03:50:20,-0.9,-89.6,69.26,87,88,13.42
133,Dunedin,NZ,2020-10-19 03:50:21,-45.87,170.5,53.01,85,100,10.67
134,Bayeux,BR,2020-10-19 03:47:22,-7.12,-34.93,75.2,88,75,5.82
135,Phalombe,MW,2020-10-19 03:50:21,-15.81,35.65,65.8,56,19,2.33
136,Lahij,YE,2020-10-19 03:50:21,13.17,44.58,81.21,37,0,2.53
137,Hlukhiv,UA,2020-10-19 03:50:21,51.68,33.92,42.58,80,81,13.2
138,Formosa Do Rio Preto,BR,2020-10-19 03:50:21,-11.05,-45.19,80.33,45,58,5.46
139,Hamilton,US,2020-10-19 03:50:21,39.18,-84.53,57.2,82,90,6.93
140,Nikolskoye,RU,2020-10-19 03:49:52,59.7,30.79,35.6,89,75,8.95
141,Kieta,PG,2020-10-19 03:50:22,-6.22,155.63,84.24,68,53,2.01
142,San Cristobal,VE,2020-10-19 03:50:22,7.77,-72.22,66.11,82,92,2.66
143,Mikumi,TZ,2020-10-19 03:50:22,-7.4,36.98,70.57,85,72,1.54
144,Pisco,PE,2020-10-19 03:50:22,-13.7,-76.22,64.4,72,0,6.93
145,Terney,RU,2020-10-19 03:50:22,45.05,136.61,50.88,46,48,4.25
